,company,level,title,yearsofexperience,yearsatcompany,tag,gender,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
46563,salesforce,other,Software Engineer,2.0,1.0,Distributed Systems (Back-End),Female,807.0,1,0,0,0,0,1,0,0,0,0
43272,microsoft,other,Software Engineer,2.0,1.0,other,Female,819.0,0,1,0,0,0,0,0,0,1,0
52103,other,L2,Software Engineer,1.0,1.0,Full Stack,Male,635.0,0,1,0,0,0,0,1,0,0,0
24668,other,other,Software Engineer,0.0,0.0,Distributed Systems (Back-End),Male,753.0,0,1,0,0,0,0,0,0,1,0
50194,amazon,L6,Solution Architect,10.0,4.0,other,Male,819.0,0,1,0,0,0,1,0,0,0,0
45225,other,other,Software Engineer,10.0,10.0,Full Stack,Male,0.0,0,1,0,0,0,0,1,0,0,0
50516,microsoft,other,other,3.0,0.0,other,Male,819.0,0,1,0,0,0,0,0,0,1,0
50275,cisco,other,Hardware Engineer,25.0,24.0,other,Male,807.0,0,1,0,0,0,0,1,0,0,0
46748,oracle,other,Software Engineer,4.0,4.0,Distributed Systems (Back-End),Male,751.0,1,0,0,0,0,1,0,0,0,0
30202,other,other,Management Consultant,22.0,8.0,Product,Male,508.0,1,0,0,0,0,0,1,0,0,0
24276,amazon,L5,Software Engineering Manager,11.0,3.0,other,Male,819.0,0,1,0,0,0,0,1,0,0,0
45178,oracle,other,Software Engineer,5.0,0.0,Distributed Systems (Back-End),Male,819.0,1,0,0,0,0,1,0,0,0,0
30370,other,other,Product Manager,10.0,6.0,other,Female,807.0,1,0,0,0,0,1,0,0,0,0
45222,other,other,Software Engineer,1.0,1.0,Distributed Systems (Back-End),Male,504.0,0,1,0,0,0,1,0,0,0,0
54816,other,other,Hardware Engineer,11.0,0.0,other,Female,807.0,1,0,0,0,0,1,0,0,0,0
46119,other,other,Software Engineer,12.0,2.0,Distributed Systems (Back-End),Male,0.0,0,1,0,0,0,0,1,0,0,0
54377,facebook,E5,Software Engineer,9.0,0.0,other,Male,819.0,0,0,0,1,0,0,1,0,0,0
37188,google,L3,Software Engineer,3.0,2.0,Full Stack,Male,807.0,0,1,0,0,0,0,1,0,0,0
